location,zh_cn,en
src/app.html,请选择语言,Please select language
src/app.html,你好，世界！,"Hello, World!"
src/app.html,你好，${boy.name},"Hello, ${boy.name}"
src/app.html,春江潮水连海平，海上明${moon}共潮生,"In spring the river rises as high as the sea, And with the river's rise the ${moon} uprises bright."
src/app.html,你好<Printer/>,"Hello, <Printer/>"
src/app.html,"<p>多语言支持不同的DOM结构，比如这里是<span style=""color: red;"">红色的中文</span></p>","<p>i18n supports different DOM structures, for example, here is <span style=""color: blue;"">blue English</span></p>"
src/app.html,你好，${boy.name}！,"Hello, ${boy.name}!"
src/index.js,月,moon
src/index.js,大葛,Mr. Ge
src/index.js,小葛,Son of Mr. Ge
src/printer.js,静以修身，检以养德,"Quiet for body, Frugal for soul."
